name|form|href|imgSrc|typeColour
Bulbasaur||/wiki/Bulbasaur_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/fb/0001Bulbasaur.png/70px-0001Bulbasaur.png|#78C850
Charmeleon||/wiki/Charmeleon_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/05/0005Charmeleon.png/70px-0005Charmeleon.png|#F08030
Charizard||/wiki/Charizard_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/38/0006Charizard.png/70px-0006Charizard.png|#F08030
Squirtle||/wiki/Squirtle_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/5/54/0007Squirtle.png/70px-0007Squirtle.png|#6890F0
Wartortle||/wiki/Wartortle_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/0f/0008Wartortle.png/70px-0008Wartortle.png|#6890F0
Blastoise||/wiki/Blastoise_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/0/0a/0009Blastoise.png/70px-0009Blastoise.png|#6890F0
Caterpie||/wiki/Caterpie_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/5/5e/0010Caterpie.png/70px-0010Caterpie.png|#A8B820
Metapod||/wiki/Metapod_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/d/da/0011Metapod.png/70px-0011Metapod.png|#A8B820
Butterfree||/wiki/Butterfree_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/5/55/0012Butterfree.png/70px-0012Butterfree.png|#A8B820
Weedle||/wiki/Weedle_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/3/36/0013Weedle.png/70px-0013Weedle.png|#A8B820
Kakuna||/wiki/Kakuna_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/f3/0014Kakuna.png/70px-0014Kakuna.png|#A8B820
Beedrill||/wiki/Beedrill_(Pok%C3%A9mon)|//archives.bulbagarden.net/media/upload/thumb/f/f7/0015Beedrill.png/70px-0015Beedrill.png|#A8B820
